Id1,Iq1,Id3,Iq3,psi_d1,psi_q1,psi_d3,psi_q3,T_fem,P_core
80,200,-20,-20,1.18734450e-01,7.20195080e-02,-8.02964560e-04,2.62046780e-03,137.386100,908.7935
80,200,-20,0,1.18994770e-01,7.17612850e-02,-6.60329380e-04,3.81503430e-03,137.868240,914.2259
80,200,-20,20,1.19054510e-01,7.15157610e-02,-5.39899030e-04,4.99183570e-03,138.184060,920.8136
80,200,-20,40,1.18929850e-01,7.12860740e-02,-4.35021090e-04,6.16195600e-03,138.336100,929.8432
80,200,0,-40,1.18700750e-01,7.14837680e-02,3.13355040e-04,1.34033350e-03,135.836600,902.9370
80,200,0,-20,1.19174250e-01,7.11689330e-02,4.69444860e-04,2.55147670e-03,136.563890,906.5128
80,200,0,0,1.19430920e-01,7.08738070e-02,6.02218210e-04,3.74074320e-03,137.103390,912.0138
80,200,0,20,1.19485610e-01,7.06025090e-02,7.17179340e-04,4.91673560e-03,137.464690,919.3566
80,200,0,40,1.19354500e-01,7.03606270e-02,8.20384290e-04,6.08954760e-03,137.646680,929.3612
80,200,20,-40,1.18965240e-01,7.06647630e-02,1.60710360e-03,1.24702060e-03,134.744810,904.8866
80,200,20,-20,1.19443100e-01,7.03072190e-02,1.75196530e-03,2.45458630e-03,135.552300,908.5874
80,200,20,0,1.19701620e-01,6.99762570e-02,1.87507210e-03,3.64500020e-03,136.171130,914.2496
80,200,20,20,1.19757150e-01,6.96795710e-02,1.98426450e-03,4.82642140e-03,136.590820,922.1006
80,200,20,40,1.19623870e-01,6.94235170e-02,2.08647950e-03,6.00793960e-03,136.821690,932.9834
80,200,40,-20,1.19512320e-01,6.94271620e-02,3.04379380e-03,2.32469350e-03,134.405720,914.3255
80,200,40,0,1.19784840e-01,6.90705720e-02,3.16416780e-03,3.52189160e-03,135.083840,919.7961
80,200,40,20,1.19851020e-01,6.87539010e-02,3.27300660e-03,4.71583960e-03,135.566930,927.9556
120,80,-40,-20,1.28895410e-01,4.86850040e-02,-5.92566390e-04,1.41003300e-03,35.390489,921.8069
120,80,-40,0,1.28869080e-01,4.93716280e-02,-5.23764670e-04,2.83969940e-03,35.989669,929.3095
120,80,-40,20,1.28523760e-01,4.99934410e-02,-4.74198370e-04,4.31806330e-03,36.496613,939.3978
120,80,-20,-40,1.29364330e-01,4.68398410e-02,8.65322600e-04,-3.83280520e-05,34.619829,914.8928
120,80,-20,-20,1.29577260e-01,4.76041080e-02,9.41199590e-04,1.39595320e-03,35.259445,918.7986
120,80,-20,0,1.29500760e-01,4.83227850e-02,1.00628330e-03,2.82735490e-03,35.834686,925.7072
120,80,-20,20,1.29121830e-01,4.89795730e-02,1.05419560e-03,4.29422370e-03,36.250171,934.8094
120,80,-20,40,1.28424710e-01,4.95383320e-02,1.06103670e-03,5.83620000e-03,36.649766,946.3012
120,80,0,-40,1.29842110e-01,4.56172280e-02,2.36517590e-03,-7.79211380e-05,34.595760,917.7421
120,80,0,-20,1.30015530e-01,4.64085010e-02,2.42395470e-03,1.36908640e-03,35.180188,920.1710
120,80,0,0,1.29902150e-01,4.71523360e-02,2.47840280e-03,2.80547340e-03,35.691670,925.6062
120,80,0,20,1.29504840e-01,4.78336480e-02,2.51903460e-03,4.26681900e-03,36.074789,933.0664
120,80,0,40,1.28854650e-01,4.84172220e-02,2.52753390e-03,5.76608450e-03,36.385123,944.1326
120,80,20,-40,1.30080260e-01,4.43224760e-02,3.84426360e-03,-1.40754160e-04,34.578194,924.4051
120,80,20,-20,1.30236860e-01,4.51266890e-02,3.88247050e-03,1.32467630e-03,35.135816,925.7477
120,80,20,0,1.30106320e-01,4.58830550e-02,3.92089890e-03,2.77157820e-03,35.561208,930.7535
120,80,20,20,1.29710680e-01,4.65901970e-02,3.95297270e-03,4.22739610e-03,35.880881,938.6292
